scenario,timestep,common_neurons,original_activations_common,mr_activations_common,original_only_neurons,original_only_activations,mr_only_neurons,mr_only_activations
highway,0,346 427 585 744 765,0.477435 0.572717 0.700258 0.987048 0.796563,0.440024 0.544424 0.600690 0.993720 0.937381,339 474 509 623 665,0.519439 0.363092 0.715179 0.754474 0.379627,114 386 462 614 629,0.442578 0.477517 0.411080 0.841684 0.536262
highway,1,427 744 765,0.543743 1.148201 0.836960,0.514210 1.233500 1.019291,346 445 474 509 585 623 963,0.414476 0.394248 0.443491 0.839067 0.611971 0.700894 0.421299,16 29 114 386 462 614 807,0.895745 0.478696 0.540139 0.572232 0.445211 0.534235 0.498974
highway,2,427 585 623 643 744 765,0.566370 0.654473 0.721030 0.476862 1.273266 0.803715,0.441937 0.469042 0.459149 0.461514 1.149141 0.775437,445 474 509 856,0.501567 0.451550 0.949883 0.418630,307 608 615 1014,0.657729 0.465995 0.445716 0.440223
highway,3,346 744 765,0.433525 1.151125 0.967834,0.448403 0.825911 0.754103,29 114 386 427 445 585 614,0.378589 0.489832 0.406195 0.587194 0.445337 0.684594 0.672978,62 307 509 615 623 807 849,0.602637 0.456825 0.571389 0.602022 0.919822 0.512323 0.588958
highway,4,744 765,1.322881 0.988217,0.775355 0.664847,16 29 114 386 427 445 585 963,0.774531 0.544007 0.519919 0.504252 0.562137 0.508363 0.527683 0.541245,18 62 131 509 615 623 849 856,0.466314 0.564099 0.482218 0.550609 0.621390 0.893002 0.638687 0.478592
highway,5,744 765,1.295592 0.862388,0.765779 0.585243,29 114 386 427 445 585 608 614,0.503501 0.439087 0.503707 0.534481 0.543913 0.523562 0.484707 0.484021,62 131 307 509 615 623 849 856,0.499381 0.498781 0.495205 0.529707 0.617742 0.895448 0.655986 0.518712
highway,6,307 744 765,0.565052 1.391539 0.701012,0.569172 0.792320 0.465051,29 167 386 427 445 608 643,0.547869 0.535165 0.499447 0.497353 0.671956 0.680975 0.527388,18 131 509 615 623 849 856,0.472888 0.535434 0.545170 0.612927 0.926146 0.668730 0.601912
highway,7,509 585 744 765,0.576880 0.630366 0.992285 0.725526,0.395083 0.506518 0.765899 0.443069,58 346 427 445 578 665,0.341093 0.381249 0.558517 0.387642 0.347553 0.435938,55 228 296 551 671 1014,0.357828 0.384192 0.318268 0.451046 0.327150 0.466329
highway,8,585 654 744 765,0.457253 0.438005 0.917575 0.644332,0.343244 0.453439 0.650693 0.467747,331 346 414 427 665 822,0.499263 0.556870 0.457091 0.585515 0.520755 0.515824,96 343 509 685 723 1014,0.388280 0.318006 0.446461 0.329565 0.688049 0.355379
highway,9,654 744 935,0.500558 0.661660 0.816330,0.486716 0.488278 0.390550,331 339 427 461 483 504 557,0.477623 0.388495 0.409901 0.416338 0.645636 0.501777 0.428134,96 414 509 521 685 723 765,0.606982 0.493462 0.441238 0.373657 0.537071 0.899081 0.375724
highway,10,723,0.790364,0.464246,34 91 210 483 521 557 619 631 935,0.923735 0.778521 0.600852 0.850553 0.882862 0.798295 0.643187 0.604706 1.534160,96 339 346 414 509 654 685 765 822,0.520205 0.446533 0.438759 0.440250 0.466219 0.649731 0.455410 0.615389 0.421755
merge,0,339 346 509 765 822,0.758710 0.775540 0.736933 1.048152 1.153302,0.845592 0.638680 1.034791 0.758143 1.049206,414 427 432 497 851,1.082463 0.732522 0.665580 0.724671 0.616384,351 593 623 856 1019,0.600589 0.708344 0.740609 0.693510 0.598523
merge,1,339 509 765 822,0.714888 0.756626 0.962890 1.128187,0.811979 0.682388 0.713836 0.840700,346 414 427 432 497 851,0.725186 1.101699 0.726627 0.683801 0.658099 0.703570,156 351 593 623 730 856,0.608174 0.743686 0.765229 0.864590 0.550587 0.594498
merge,2,339 509 765 822,0.707865 0.808244 0.855189 1.140024,0.737471 0.575480 0.627954 0.713366,263 346 414 427 432 851,0.608410 0.679645 1.103829 0.730947 0.649912 0.805186,62 156 351 593 623 856,0.539977 0.545790 0.675912 0.713493 0.816218 0.541449
merge,3,339 509 765 822,0.929188 0.832229 1.108921 1.069049,0.950231 0.931662 0.769649 0.944954,346 414 427 665 685 919,0.761969 0.641477 0.610912 0.545904 0.701826 0.667152,156 351 593 623 730 856,0.723109 0.719853 0.773373 1.139368 0.841966 0.820953
merge,4,339 509 822,0.896070 0.855279 1.037828,0.789659 0.833271 0.833476,346 414 427 654 685 765 919,0.725146 0.657067 0.564825 0.530509 0.641065 1.049334 0.566704,131 351 407 623 730 856 961,0.680857 0.675315 0.682843 1.120495 0.705337 0.887133 0.663491
merge,5,339 822,0.806495 0.983327,0.647403 0.738549,346 414 427 509 744 765 771 851,0.636325 0.693207 0.517492 0.834825 0.439115 0.926436 0.516282 0.475032,58 131 297 351 407 623 856 927,0.667825 0.784177 0.644527 0.765430 0.654456 1.133238 0.836753 0.682228
merge,6,,,,339 346 414 427 509 744 765 771 822 851,0.768830 0.557163 0.636290 0.452584 0.779068 0.421911 0.827989 0.489689 0.868220 0.414479,58 131 297 351 407 531 623 849 856 927,0.706645 0.944083 0.799775 0.759585 0.706371 0.716085 1.056653 0.769311 0.868726 0.713904
merge,7,,,,339 346 414 427 509 585 744 765 771 822,0.648024 0.424603 0.497758 0.378367 0.658336 0.394497 0.476950 0.675672 0.416484 0.619830,90 131 351 407 549 593 623 725 862 911,0.625980 0.521663 0.666830 0.464827 0.494036 0.491725 0.513004 0.487374 0.577147 0.563294
merge,8,90,0.370218,0.659353,339 414 509 585 744 765 771 822 832,0.538650 0.653098 0.536428 0.410868 0.423604 0.482198 0.440651 0.420990 0.528053,131 351 549 593 623 725 862 911 927,0.498491 0.637080 0.444434 0.434357 0.527359 0.517536 0.501582 0.572252 0.523267
merge,9,,,,106 206 339 433 509 513 585 765 849 961,0.316615 0.526254 0.860125 0.295058 0.456930 0.610066 0.289618 0.579122 0.611361 0.419546,82 90 131 351 531 623 630 911 913 927,0.437845 0.612725 0.469197 0.580505 0.484620 0.434025 0.414804 0.498374 0.419320 0.542048
merge,10,,,,106 206 296 339 509 513 748 765 849 961,0.359818 0.424373 0.309591 0.775354 0.407530 0.534162 0.419340 0.441725 0.653468 0.421580,35 58 82 183 243 336 414 822 919 1004,0.337592 0.275394 0.279171 0.278808 0.347009 0.284442 0.277775 0.315779 0.274907 0.309872
merge,11,243 261,0.468247 0.392024,0.447371 0.347756,206 230 307 335 339 513 940 961,0.436935 0.366412 0.376820 0.375834 0.568542 0.614381 0.351955 0.485382,296 343 448 666 710 816 991 1004,0.445673 0.329945 0.360444 0.458454 0.495330 0.333699 0.465707 0.472207
merge,12,,,,90 131 297 339 475 806 849 886 911 1015,0.512539 0.520788 0.571767 0.455831 0.622135 0.387285 0.525193 0.437810 0.689898 0.546018,31 147 326 521 600 821 828 875 894 1004,0.407068 0.439280 0.421752 0.592642 0.396220 0.392233 0.419919 0.362476 0.422396 0.586058
merge,13,666,0.270901,0.396631,182 196 414 429 509 821 875 917 1004,0.259620 0.386050 0.259590 0.269852 0.309410 0.269944 0.327232 0.269898 0.445715,147 242 326 493 555 629 754 835 978,0.404822 0.316209 0.287791 0.364431 0.476947 0.316659 0.292054 0.374896 0.280114
merge,14,1004,0.560013,0.538682,98 182 196 297 330 666 821 875 917,0.370497 0.293859 0.328848 0.282949 0.280590 0.322936 0.323320 0.358955 0.294095,31 147 326 521 600 629 828 887 894,0.390431 0.514592 0.426871 0.598110 0.366824 0.387197 0.462750 0.365437 0.510071
roundabout,0,339 414 822,0.934080 0.845449 0.786562,1.258806 1.148167 0.788508,105 126 309 329 416 503 728,1.133312 0.836465 0.875351 0.866303 1.120074 0.793516 1.391605,27 58 427 509 748 913 919,1.196025 0.760003 0.814380 1.009897 0.812023 0.900981 0.793381
roundabout,1,339 346 414 427 509 688 765 822 919,1.021794 1.072028 0.939961 0.864912 1.395621 0.828022 1.248065 1.547472 1.163214,1.097295 0.972750 1.004632 0.971712 1.140294 1.007278 1.358034 1.498212 1.266172,875,0.772146,629,0.883450
roundabout,2,509 765 822,1.017153 0.825228 1.206548,0.678054 0.903281 0.756237,31 297 346 414 427 688 836,0.712368 0.563081 0.641597 0.792953 0.660330 0.650522 0.695787,191 339 570 875 886 913 919,0.682250 0.777782 0.716186 0.800950 0.782376 1.113420 1.157076
roundabout,3,339 414 509 765 822,0.700049 0.784219 0.929861 1.178565 0.693313,0.653199 0.791801 0.777220 0.507381 0.710963,65 351 427 818 1019,0.733823 1.070196 0.771328 0.706738 1.009430,58 570 688 832 913,0.516395 0.585643 0.556684 0.722669 0.559838
roundabout,4,351 1019,1.044380 0.740443,0.659370 0.618403,263 407 509 765 816 911 946 1015,0.745077 0.828592 0.751409 0.732288 1.099223 0.856029 0.743273 1.073057,62 181 335 339 448 557 712 818,0.555378 0.638338 0.584165 0.589979 0.620002 0.526900 1.195223 0.593010
roundabout,5,,,,31 81 93 263 414 427 561 566 589 710,0.754651 1.426453 0.730901 1.775340 0.950011 1.181855 1.076040 0.737978 0.842416 1.042107,62 181 370 448 525 583 712 894 1015 1019,0.796109 0.780408 0.627413 0.869498 0.669491 0.663708 1.532791 0.606674 1.007106 0.732331
